CONTESTANT,Age,FIR,NumRoses3,FirstDate,Region,ElimWeek
01_RYAN_S,29,0.0,0.0,3.0,W,11.0
01_CHARLIE_M,28,0.0,0.0,3.0,W,6.0
01_RUSS_X,30,0.0,0.0,3.0,W,5.0
01_GREG_T,28,0.0,0.0,4.0,N,4.0
01_BOB_G,31,0.0,0.0,0.0,W,3.0
01_JAMIE_B,27,0.0,0.0,0.0,M,3.0
01_MIKE_X,24,0.0,0.0,0.0,M,3.0
01_ROB_X,29,0.0,0.0,0.0,S,3.0
01_BRIAN_C,28,0.0,0.0,0.0,S,2.0
01_BRIAN_S,28,0.0,0.0,0.0,S,2.0
01_BROOK_X,29,0.0,0.0,0.0,S,2.0
01_JACK_X,27,0.0,0.0,0.0,M,2.0
01_JEFF_X,25,0.0,0.0,0.0,W,2.0
01_JOSH_X,31,0.0,0.0,0.0,S,2.0
01_BRIAN_H,30,0.0,0.0,0.0,M,2.0
01_BILLY_X,28,0.0,0.0,0.0,W,1.0
01_BRIAN_K,31,0.0,0.0,0.0,W,1.0
01_CHRIS_X,35,0.0,0.0,0.0,N,1.0
01_DUANE_X,28,0.0,0.0,0.0,M,1.0
01_ERIC_X,33,0.0,0.0,0.0,M,1.0
01_GREGG_H,34,0.0,0.0,0.0,N,1.0
01_MATT_X,42,0.0,0.0,0.0,W,1.0
01_PAUL_X,26,0.0,0.0,0.0,O,1.0
01_PETER_X,25,0.0,0.0,0.0,N,1.0
01_WAYNE_X,37,0.0,0.0,0.0,W,1.0
02_IAN_M,29,0.0,0.0,3.0,N,11.0
02_MATTHEW_H,28,0.0,0.0,4.0,S,8.0
02_CHAD_X,31,0.0,0.0,4.0,N,6.0
02_LANNY_X,26,0.0,0.0,4.0,S,5.0
02_BRAD_X,29,0.0,0.0,0.0,W,4.0
02_RYAN_M,30,0.0,0.0,0.0,W,4.0
02_SEAN_X,31,0.0,0.0,0.0,N,4.0
02_RICK_X,29,0.0,0.0,2.0,W,3.0
02_RYAN_R,29,0.0,0.0,0.0,W,3.0
02_TODD_X,36,0.0,0.0,0.0,W,3.0
02_DAMON_X,28,0.0,0.0,0.0,W,2.0
02_ELIOT_X,25,0.0,0.0,0.0,W,2.0
02_HAROLD_H,29,0.0,0.0,0.0,M,2.0
02_MARCUS_X,26,0.0,0.0,0.0,W,2.0
02_ROBERT_X,32,0.0,0.0,0.0,W,2.0
02_AARON_X,32,0.0,0.0,0.0,W,1.0
02_ANDY_C,33,0.0,0.0,0.0,S,1.0
02_ANSELM_C,32,0.0,0.0,0.0,W,1.0
02_BRIAN_X,31,0.0,0.0,0.0,N,1.0
02_CHRIS_X,31,0.0,0.0,0.0,N,1.0
02_CORY_H,24,0.0,0.0,0.0,N,1.0
02_JEFF_O,30,0.0,0.0,0.0,S,1.0
02_JUSTIN_X,25,0.0,0.0,0.0,S,1.0
02_KEITH_X,31,0.0,0.0,0.0,N,1.0
02_TREVER_X,35,0.0,0.0,0.0,N,1.0
04_JESSE_C,26,1.0,1.0,4.0,W,11.0
04_JASON_M,31,0.0,1.0,3.0,M,8.0
04_JEREMY_A,30,1.0,2.0,5.0,S,7.0
04_GRAHAM_B,29,0.0,1.0,2.0,S,6.0
04_SEAN_R,33,0.0,0.0,5.0,S,5.0
04_BLAINE_T,33,0.0,0.0,0.0,S,5.0
04_BRIAN_W,31,0.0,0.0,0.0,S,4.0
04_FREDERICK_G,30,0.0,1.0,0.0,M,4.0
04_ROBERT_F,28,0.0,1.0,0.0,W,4.0
04_PAUL_B,23,0.0,1.0,0.0,Other,3.0
04_RONALD_M,36,0.0,0.0,0.0,W,3.0
04_RICHARD_M,27,1.0,1.0,3.0,N,3.0
04_CHRISTOPHER_B,29,0.0,0.0,0.0,S,2.0
04_ERIC_P,32,0.0,0.0,0.0,N,2.0
04_RYAN_H,28,0.0,0.0,0.0,M,2.0
04_CHANDLER_F,25,0.0,0.0,0.0,S,1.0
04_DONATO_C,26,0.0,0.0,0.0,S,1.0
04_GREGORY_M,28,0.0,0.0,0.0,N,1.0
04_JEFFREY_H,27,0.0,0.0,0.0,S,1.0
04_JONATHAN_K,35,0.0,0.0,0.0,M,1.0
04_LUKE_H,27,0.0,0.0,0.0,S,1.0
04_PATRICK_C,26,0.0,0.0,0.0,M,1.0
04_PATRICK_D,27,0.0,0.0,0.0,M,1.0
04_SPERO_S,38,0.0,0.0,0.0,N,1.0
05_ED_S,29,0.0,1.0,3.0,W,11.0
05_KIPTYN_L,31,0.0,0.0,4.0,W,10.0
05_REID_R,30,0.0,0.0,6.0,N,9.0
05_WES_H,32,0.0,1.0,7.0,S,8.0
05_JESSE_K,27,0.0,0.0,5.0,W,7.0
05_MICHAEL_S,25,0.0,0.0,5.0,W,7.0
05_JAKE_P,31,0.0,1.0,2.0,S,6.0
05_TANNER_P,30,0.0,0.0,0.0,S,6.0
05_ROBBY_D,25,0.0,1.0,6.0,S,6.0
05_MARK_H,26,0.0,0.0,0.0,M,5.0
05_DAVID_G,27,1.0,1.0,0.0,M,4.0
05_JUAN_B,35,0.0,1.0,0.0,Other,4.0
05_MIKE_S,28,0.0,1.0,0.0,N,4.0
05_BRAD_S,27,0.0,0.0,0.0,M,3.0
05_TANNER_F,28,0.0,0.0,0.0,M,3.0
05_SASHA_P,27,0.0,0.0,3.0,S,3.0
05_BRIAN_D,32,0.0,0.0,0.0,S,2.0
05_BRIAN_D,28,0.0,0.0,0.0,S,1.0
05_JULIEN_H,34,0.0,0.0,0.0,W,2.0
05_MATHUE_J,25,0.0,0.0,0.0,M,2.0
05_SIMON_A,26,0.0,0.0,0.0,Other,2.0
05_ADAM_D,27,0.0,0.0,0.0,W,1.0
05_BRYCE_H,31,0.0,0.0,0.0,S,1.0
05_CALEB_K,27,0.0,0.0,0.0,M,1.0
05_GREG_B,31,0.0,0.0,0.0,W,1.0
05_JOHN_H,27,0.0,0.0,0.0,W,1.0
05_JOHN_P,29,0.0,0.0,0.0,M,1.0
05_JOSH_Y,25,0.0,0.0,0.0,W,1.0
05_KYLE_Y,26,0.0,0.0,0.0,S,1.0
05_STEPHEN_R,30,0.0,0.0,0.0,N,1.0
06_ROBERTO_M,26,1.0,2.0,3.0,S,11.0
06_CHRIS_L,33,0.0,0.0,4.0,N,10.0
06_FRANK_N,31,0.0,1.0,2.0,M,9.0
06_KIRK_D,27,0.0,1.0,5.0,M,8.0
06_TY_B,31,0.0,1.0,6.0,S,7.0
06_CRAIG_R,27,0.0,0.0,0.0,N,6.0
06_JUSTIN_R,26,0.0,0.0,0.0,Other,6.0
06_CHRIS_N,29,0.0,0.0,0.0,S,5.0
06_KASEY_K,27,0.0,0.0,4.0,W,5.0
06_JESSE_B,24,0.0,1.0,2.0,M,4.0
06_JONATHAN_N,30,0.0,0.0,0.0,N,4.0
06_JOHN_C,32,0.0,0.0,0.0,W,3.0
06_STEVE_K,28,0.0,0.0,0.0,M,3.0
06_HUNTER_W,28,0.0,0.0,3.0,S,3.0
06_CHRIS_H,27,0.0,0.0,0.0,Other,2.0
06_CRAIG_M,34,0.0,0.0,0.0,Other,2.0
06_TYLER_V,25,0.0,0.0,0.0,N,2.0
06_DEREK_X,28,0.0,0.0,0.0,W,1.0
06_DERRICK_S,27,0.0,0.0,0.0,W,1.0
06_JASON_W,27,0.0,0.0,0.0,S,1.0
06_JAY_R,29,0.0,0.0,0.0,N,1.0
06_JOHN_N,27,0.0,0.0,0.0,M,1.0
06_KYLE_H,26,0.0,0.0,0.0,W,1.0
06_PHIL_K,30,0.0,0.0,0.0,M,1.0
06_TYLER_M,25,0.0,0.0,0.0,W,1.0
07_JP_R,34,0.0,1.0,3.0,N,11.0
07_BEN_F,28,0.0,0.0,5.0,W,10.0
07_CONSTANTINE_T,30,0.0,0.0,4.0,S,9.0
07_AMES_B,31,0.0,0.0,4.0,N,8.0
07_LUCAS_D,30,0.0,0.0,6.0,S,7.0
07_RYAN_P,31,1.0,2.0,7.0,W,7.0
07_BLAKE_J,27,0.0,0.0,0.0,W,6.0
07_RYAN_M,31,0.0,1.0,2.0,N,6.0
07_RYAN_M,27,0.0,1.0,2.0,W,2.0
07_NICK_P,26,0.0,0.0,0.0,S,5.0
07_WILLIAM_H,30,0.0,1.0,2.0,M,5.0
07_BEN_C,28,0.0,1.0,3.0,S,5.0
07_WEST_L,30,0.0,0.0,0.0,S,4.0
07_CHRIS_D,25,0.0,0.0,0.0,M,3.0
07_JEFF_M,35,0.0,0.0,0.0,M,3.0
07_BENTLEY_W,28,0.0,1.0,0.0,W,3.0
07_MATT_C,28,0.0,0.0,0.0,N,2.0
07_STEPHEN_D,27,0.0,0.0,0.0,N,2.0
07_ANTHONY_S,28,0.0,0.0,0.0,N,1.0
07_CHRIS_M,27,0.0,0.0,0.0,Other,1.0
07_FRANK_C,29,0.0,0.0,0.0,O,1.0
07_JON_E,26,0.0,0.0,0.0,W,1.0
07_MICHAEL_B,29,0.0,0.0,0.0,N,1.0
07_ROB_D,27,0.0,0.0,0.0,W,1.0
07_TIM_M,35,0.0,0.0,0.0,N,1.0
08_JEF_H,27,0.0,1.0,5.0,W,11.0
08_ARIE_L,30,0.0,1.0,3.0,W,10.0
08_SEAN_L,28,0.0,1.0,5.0,S,9.0
08_CHRIS_B,25,0.0,1.0,3.0,M,8.0
08_JOHN_W,30,0.0,0.0,7.0,M,7.0
08_DOUG_C,33,1.0,1.0,4.0,W,7.0
08_RYAN_B,31,0.0,1.0,2.0,S,6.0
08_TRAVIS_P,30,0.0,0.0,6.0,S,6.0
08_ALEJANDRO_V,25,0.0,0.0,0.0,W,5.0
08_KALON_M,27,0.0,0.0,0.0,S,5.0
08_CHARLIE_G,32,0.0,0.0,0.0,N,4.0
08_MICHAEL_N,26,0.0,0.0,0.0,S,4.0
08_NATHAN_B,25,0.0,0.0,0.0,W,4.0
08_STEVIE_A,26,0.0,0.0,0.0,N,3.0
08_ALESSANDRO_G,30,0.0,0.0,0.0,M,3.0
08_TONY_P,31,0.0,0.0,0.0,W,3.0
08_AARON_M,36,0.0,0.0,0.0,Other,2.0
08_KYLE_D,29,0.0,0.0,0.0,W,2.0
08_JOE_G,27,0.0,0.0,2.0,S,2.0
08_BRENT_R,41,0.0,0.0,0.0,S,1.0
08_DAVID_H,33,0.0,0.0,0.0,S,1.0
08_JACKSON_L,29,0.0,0.0,0.0,M,1.0
08_JEANPAUL_L,35,0.0,0.0,0.0,W,1.0
08_LERONE_A,29,0.0,0.0,0.0,W,1.0
08_RANDY_W,30,0.0,0.0,0.0,M,1.0
09_CHRIS_S,27,0.0,1.0,5.0,W,11.0
09_DREW_K,27,1.0,1.0,6.0,W,10.0
09_BROOKS_F,28,0.0,1.0,2.0,W,9.0
09_ZAK_W,31,1.0,1.0,6.0,S,8.0
09_MICHAEL_G,33,1.0,1.0,7.0,N,7.0
09_JAMES_C,27,0.0,1.0,4.0,S,6.0
09_JUAN_G,31,0.0,0.0,0.0,Other,6.0
09_KASEY_S,29,0.0,1.0,3.0,S,6.0
09_MIKEY_T,30,0.0,0.0,0.0,M,5.0
09_BEN_S,28,1.0,2.0,0.0,S,5.0
09_BRYDEN_V,26,1.0,2.0,2.0,W,5.0
09_ZACK_K,28,0.0,0.0,0.0,W,4.0
09_BRAD_M,27,0.0,0.0,4.0,W,4.0
09_BRANDON_A,26,0.0,0.0,0.0,M,3.0
09_DAN_C,30,0.0,0.0,0.0,W,3.0
09_BRIAN_J,29,0.0,0.0,0.0,N,3.0
09_NICK_M,27,1.0,1.0,0.0,N,2.0
09_ROBERT_G,30,0.0,0.0,0.0,W,2.0
09_WILL_R,28,0.0,0.0,0.0,W,2.0
09_DIOGO_C,29,0.0,0.0,0.0,Other,1.0
09_LARRY_B,34,0.0,0.0,0.0,M,1.0
09_MICAH_X,32,0.0,0.0,0.0,M,1.0
09_MIKE_X,28,0.0,0.0,0.0,Other,1.0
09_NICK_R,26,0.0,0.0,0.0,N,1.0
09_JONATHAN_V,26,0.0,0.0,0.0,S,1.0
10_JOSH_M,29,0.0,1.0,5.0,S,11.0
10_NICK_V,33,1.0,2.0,3.0,M,10.0
10_CHRIS_S,32,0.0,1.0,2.0,M,9.0
10_MARCUS_G,25,0.0,1.0,4.0,Other,8.0
10_BRIAN_O,27,0.0,0.0,5.0,N,7.0
10_DYLAN_P,26,0.0,0.0,4.0,N,7.0
10_JJ_O,30,0.0,1.0,3.0,N,6.0
10_CODY_S,28,0.0,0.0,6.0,M,6.0
10_ANDREW_P,30,0.0,0.0,0.0,W,5.0
10_MARQUEL_M,26,0.0,0.0,0.0,W,5.0
10_PATRICK_J,29,0.0,0.0,0.0,N,5.0
10_TASOS_H,30,0.0,0.0,0.0,W,4.0
10_ERIC_H,31,0.0,1.0,2.0,W,4.0
10_BRADLEY_W,32,0.0,0.0,0.0,W,3.0
10_BRETT_M,29,0.0,0.0,0.0,N,3.0
10_RON_W,28,0.0,0.0,0.0,Other,3.0
10_CARL_K,30,0.0,0.0,0.0,W,2.0
10_CRAIG_M,29,0.0,0.0,0.0,M,2.0
10_NICK_S,27,0.0,0.0,0.0,M,2.0
10_EMIL_S,33,0.0,0.0,0.0,W,1.0
10_JASON_L,35,0.0,0.0,0.0,M,1.0
10_JOSH_B,29,0.0,0.0,0.0,W,1.0
10_MIKE_C,29,0.0,0.0,0.0,N,1.0
10_RUDIE_D,31,0.0,0.0,0.0,W,1.0
10_STEVEN_W,30,0.0,0.0,0.0,W,1.0
11_SHAWN_B,28,1.0,2.0,5.0,N,11.0
11_NICK_V,34,0.0,0.0,6.0,M,9.0
11_BEN_H,26,0.0,1.0,5.0,M,8.0
11_JARED_H,26,0.0,0.0,4.0,N,7.0
11_JOE_B,28,0.0,0.0,0.0,S,7.0
11_CHRIS_S,28,0.0,0.0,7.0,W,7.0
11_BEN_Z,26,0.0,2.0,3.0,S,6.0
11_TANNER_T,28,0.0,0.0,0.0,M,6.0
11_JJ_L,32,0.0,1.0,0.0,W,6.0
11_JOSHUA_A,31,0.0,0.0,0.0,W,5.0
11_JUSTIN_R,28,0.0,0.0,0.0,M,5.0
11_IAN_T,28,0.0,0.0,0.0,N,5.0
11_COREY_S,30,0.0,0.0,0.0,N,4.0
11_JONATHAN_H,33,0.0,0.0,0.0,W,4.0
11_RYAN_B,32,0.0,0.0,0.0,S,4.0
11_CLINT_A,27,0.0,1.0,2.0,M,3.0
11_TONY_H,35,0.0,0.0,0.0,M,3.0
11_CORY_S,35,0.0,0.0,0.0,S,2.0
11_DANIEL_F,28,0.0,0.0,0.0,S,2.0
11_KUPAH_J,32,0.0,0.0,0.0,N,2.0
11_BRADLEY_C,25,0.0,0.0,0.0,S,1.0
11_DAVID_X,28,0.0,0.0,0.0,S,1.0
11_JOSH_S,27,0.0,0.0,0.0,M,1.0
11_SHAWN_E,31,0.0,0.0,0.0,Other,1.0
11_BRADY_T,33,0.0,0.0,0.0,M,1.0
11_RYAN_M,28,0.0,0.0,0.0,M,1.0
12_JORDAN_R,27,1.0,1.0,5.0,W,11.0
12_ROBBY_H,27,0.0,0.0,8.0,S,10.0
12_CHASE_M,27,0.0,1.0,3.0,W,9.0
12_LUKE_P,31,0.0,0.0,4.0,S,8.0
12_JAMES_T,29,0.0,2.0,3.0,S,7.0
12_ALEX_W,25,0.0,0.0,7.0,W,7.0
12_DEREK_P,29,0.0,1.0,2.0,M,6.0
12_WELLS_A,31,0.0,1.0,6.0,W,6.0
12_EVAN_B,33,0.0,1.0,0.0,N,5.0
12_GRANT_K,27,0.0,0.0,0.0,W,5.0
12_VINCENT_V,28,0.0,0.0,0.0,N,5.0
12_DANIEL_M,31,0.0,0.0,0.0,Other,4.0
12_JAMES_F,34,0.0,0.0,0.0,S,4.0
12_CHAD_J,28,0.0,0.0,0.0,S,4.0
12_ALI_Z,27,0.0,0.0,0.0,W,3.0
12_CHRISTIAN_B,26,0.0,0.0,0.0,W,3.0
12_NICK_B,33,0.0,0.0,0.0,M,3.0
12_BRANDON_H,28,0.0,0.0,0.0,W,2.0
12_JAMES_S,27,0.0,0.0,0.0,W,2.0
12_WILL_H,26,0.0,0.0,0.0,N,2.0
12_COLEY_K,27,0.0,0.0,0.0,M,1.0
12_JAKE_P,26,0.0,0.0,0.0,W,1.0
12_JONATHAN_H,29,0.0,0.0,0.0,Other,1.0
12_NICK_S,26,0.0,0.0,0.0,W,1.0
12_PETER_M,26,0.0,0.0,0.0,M,1.0
12_SAL_D,28,0.0,0.0,0.0,M,1.0
